Main Topics,Subtopics,Details,Links,Video Links
Pattern Printing ,patterns,"Solid Pattern - square, right angled triangle",,https://youtu.be/R3iZV9pm-9k
,,Number and Character Patterns,,
,,Inverted and Mirrored Patterns,,
,,Pyramid and Diamond Patterns,,
,,"Advanced Number Patterns - Pascal’s Triangle, Floyd’s Triangle",,
Time & Space Complexity,Time and Space Complexity,What is Algorithm Complexity,,https://youtu.be/U0ZkBW4avbw
,,"Asymptotic Notations - upper, lower, average",,
,,Time Complexity,,
,,Space Complexity,,
,,Rules for calculating time complexity,,
,,Questions on time complexity,,
,,Big Oh cheat sheet,,
Arrays,Arrays in Java,what are arrays,,https://youtu.be/JQlzB5i8trQ
,,concept of indexing,,
,,"Insert, update, delete, traverse",,
,,How arrays work in memory,,
,,what is a sorted array,,
,,How to create a 2d array,,
,,Operations on functions,,
,,Jagged Array,,
,,passing arrays to functions,,
Collections Framework,Collections in One Shot,Introduction,,https://youtu.be/hp2bzI9TxPY
,,What is collection framework? ,,
,,How to Import Collections Framework,,
,,Hierarchy of Collections Framework - Interfaces & Classes,,
,,Java Generics and AutoBoxing,,
,,List Interface,,
,,ArrayList & its functions,,
,,How to Iterate your List using ListIterator,,
,,Sorting using Sort Method,,
,,Time Complexity of ArrayList,,
,,LinkedList & its functions,,
,,ArrayList VS LinkedList,,
,,Time Complexity of LinkedList,,
,,Stack & its functions,,
,,Time Complexity of Stack,,
,,Queue & its functions,,
,,Queue using LinkedList,,
,,Queue using ArrayDeque,,
,,Deque Interface using ArrayDeque & LinkedList,,
,,PriorityQueue Implementation of Queue,,
,,Map Interface ,,
,,Hashing Concept,,
,,How Map uses Hashing Concept,,
,,HashMap & its functions,,
,,How to traverse a Map using Entry Interface,,
,,Map using LinkedHashMap,,
,,Map using TreeMap,,
,,TreeMap & its functions,,
,,Set Interface,,
,,HashSet,,
,,LinkedHashSet,,
,,TreeSet,,
Maths in DSA,Mathematics in DSA - Part 1,Q. Find number of digits,Video-only problem,https://youtu.be/xMXiDI2ZJuA
,,Q. Appending digits to the end,Video-only problem,
,,Q. Insert digit at the front,Video-only problem,
,,Q. Reverse a number,Video-only problem,
,,Q. Even / odd number,Video-only problem,
,,Q. Find power,Video-only problem,
,,Q. Fast exponentiation,Video-only problem,
,,Number system,,
,,Q. Any base to decimal,Video-only problem,
,,Q. Decimal to any base,Video-only problem,
,Mathematics in DSA - Part 2,Q. Armstrong Number ,Video-only problem,https://youtu.be/lnpa0999qGU
,,Q. Palindrome Number,Video-only problem,
,,Q. Print all divisors,Video-only problem,
,,Q. check prime number,Video-only problem,
,,Q. Sieve of Eratosthenes,Video-only problem,
,,Q. Greatest Common Divisor,Video-only problem,
,,Q. Euclidean GCD Algorithm,Video-only problem,
,,Q. Lcm of two numbers,Video-only problem,
,,Q. Print all unique prime factors of a number,Video-only problem,
,,Q. Smallest prime factor,Video-only problem,
,,Q. Factorial of a number,Video-only problem,
,,Q. find trailing zero in factorial of a number,https://leetcode.com/problems/factorial-trailing-zeroes/,
,,Modular Arithmetic,,
Bit Manipulation,Bit basics & fundamentals,Binary Representation of Numbers,,https://youtu.be/bX-U5C6Um3w
,,Q. One's Complement,Video-only problem,
,,Q. Two's Complement,Video-only problem,
,,Range of Integers,,
,,"Bitwise Operators - AND, OR, XOR, NOT, Left Shift, Right Shift, Unsigned Right Shift, ",,
,,Q. Check Odd/Even,Video-only problem,
,,Q. Swap Two Numbers using XOR,Video-only problem,
,Useful Tricks in Bit Manipulation,Q. Check if k-th Bit is Set,Video-only problem,https://youtu.be/sbNDQu0PFoY
,,Q. Set / Unset / Toggle a Bit,Video-only problem,
,,Q. Count Set Bits,Video-only problem,
,,Q. Rightmost Set Bit,Video-only problem,
,,Q. Check if Number is Power of 2,Video-only problem,
,,Q. Character Case Conversion using Bits,Video-only problem,
,Standard Questions in Bit Manipulation,Q. Find the Unique Number (all others appear twice) - [Single Number I],https://leetcode.com/problems/single-number/description/,https://youtu.be/Dd9d-uWyilE
,,Q. Find Unique Number (all others appear thrice) [Single Number II],https://leetcode.com/problems/single-number-ii/description/,
,,Q. Find 2 Unique Numbers (all others appear twice) [Single Number III],https://leetcode.com/problems/single-number-iii/description/,
,,Q. Minimum Number of Bit Flips (Convert A → B),https://leetcode.com/problems/minimum-bit-flips-to-convert-number/description/,
,,Q. Print All Subsets (Power Set),https://leetcode.com/problems/subsets/description/,
Searching Algorithms,Linear Search,Linear Search,,https://youtu.be/slqFdKVMjeQ
,,Q. Search First Occurrence of Element in 1D Array,Video-only problem,
,,Q. Search First Occurrence of Element in 2D Array,Video-only problem,
,,Q. Find Maximum Element in 1D Array,Video-only problem,
,,Q. Find Maximum Sum Subarray in 2D Array,Video-only problem,
,,Q. Find Minimum Element in 1D Array,Video-only problem,
,,Q. Find Minimum Sum Subarray in 2D Array,Video-only problem,
,,Q. Search All Occurrences of Element in 1D Array,Video-only problem,
,,Q. Search All Occurrences of Element in 2D Array,Video-only problem,
,,Q. Search Last Occurrence of Element in 1D Array,Video-only problem,
,,Q. Search Last Occurrence of Element in 2D Array,Video-only problem,
,,How to Use LeetCode,,
,,Q. How to Find Number of Elements in 2D Array,Video-only problem,
,Binary Search,Binary Search,,https://youtu.be/kOIECDEUzaI
,,Q. Binary Search in Increasing Order,Video-only problem,
,,Q. Binary Search in Decreasing Order,Video-only problem,
,,Q. Order Agnostic Binary Search,Video-only problem,
,,Avoid Overflow in Finding Mid,,
,,Why Binary Search is Faster,,
,,Q. Find if Array is Sorted in Increasing or Decreasing Order,Video-only problem,
,Basic Questions on Binary Search,Q. Ceiling of a Number,Video-only problem,https://youtu.be/P-vl_BrdxJA
,,Q. Floor of a Number,Video-only problem,
