index,questionNo,title,difficulty,acceptance,link,youtubeLink
1,268',Missing Number',Easy',71.2%',https://leetcode.com/problems/missing-number',https://youtu.be/-BtU_c-mm2o?si=uUHeTVXvKG5mOvEE
2,287',Find the Duplicate Number',Medium',63.7%',https://leetcode.com/problems/find-the-duplicate-number',https://youtu.be/hCIdhv7-5Ms?si=eukm9ipB5cve9tgu
3,33',Search in Rotated Sorted Array',Medium',43.8%',https://leetcode.com/problems/search-in-rotated-sorted-array',TBD
4,153',Find Minimum in Rotated Sorted Array',Medium',53.5%',https://leetcode.com/problems/find-minimum-in-rotated-sorted-array',TBD
5,154',Find Minimum in Rotated Sorted Array II',Hard',44.5%',https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii',TBD
6,1095',Find in Mountain Array',Hard',40.9%',https://leetcode.com/problems/find-in-mountain-array',TBD
7,3005',Count Elements With Maximum Frequency',Easy',79.9%',https://leetcode.com/problems/count-elements-with-maximum-frequency',https://youtu.be/vK3pKC2jxcE?si=HXuRntQ_cOEJxwon
8,169',Majority Element',Easy',66.0%',https://leetcode.com/problems/majority-element',TBD
9,1',Two Sum',Easy',56.7%',https://leetcode.com/problems/two-sum',TBD
10,15',3Sum',Medium',38.2%',https://leetcode.com/problems/3sum',TBD
11,1818',Minimum Absolute Sum Difference',Medium',32.0%',https://leetcode.com/problems/minimum-absolute-sum-difference',TBD
12,242',Valid Anagram',Easy',67.5%',https://leetcode.com/problems/valid-anagram',TBD
13,179',Largest Number',Medium',42.2%',https://leetcode.com/problems/largest-number',https://youtu.be/x0pc-z2BxPM?si=x3198GloXbfo1HDU
14,75',Sort Colors',Medium',68.8%',https://leetcode.com/problems/sort-colors',https://youtu.be/G4LWBrda_H4?si=rNl2x52ra_sUVy4C
15,1636',Sort Array by Increasing Frequency',Easy',80.6%',https://leetcode.com/problems/sort-array-by-increasing-frequency',https://youtu.be/6ttg8_eROpY?si=ETWmxUG-5v-b_PNl
16,215',Kth Largest Element in an Array',Medium',68.6%',https://leetcode.com/problems/kth-largest-element-in-an-array',https://youtu.be/wkTsKXPRjSk?si=tbL6SRgUenRpVpnX
17,945',Minimum Increment to Make Array Unique',Medium',60.5%',https://leetcode.com/problems/minimum-increment-to-make-array-unique',https://youtu.be/-3-PHFYCTcA?si=8Va_VE8EPEBELWLN
18,3009',Maximum Number of Intersections on the Chart',Hard',45.0%',https://leetcode.com/problems/maximum-number-of-intersections-on-the-chart',TBD
19,330',Patching Array',Hard',54.0%',https://leetcode.com/problems/patching-array',https://youtu.be/Spj4Vz3ZK2A?si=nGQFvdZdQ0aS05ef
20,1509',Minimum Difference Between Largest and Smallest Value in Three Moves',Medium',59.2%',https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves',https://youtu.be/3ggt-iX4cyM?si=lCyLyW61lc0rVghK
21,1701',Average Waiting Time',Medium',73.1%',https://leetcode.com/problems/average-waiting-time',https://youtu.be/xYA36kE32d8?si=bH-6Tcq1yL1SX82z
22,1497',Check If Array Pairs Are Divisible by k',Medium',46.2%',https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k',https://youtu.be/wZbJJygkRBs?si=QAfMlasvW99B4zAW
23,670',Maximum Swap',Medium',51.9%',https://leetcode.com/problems/maximum-swap',https://youtu.be/UwqnSOKvwVk?si=BQYidvi9LI2GEcFM
24,1854',Maximum Population Year',Easy',63.3%',https://leetcode.com/problems/maximum-population-year',TBD
25,1094',Car Pooling',Medium',56.1%',https://leetcode.com/problems/car-pooling',TBD
26,253',Meeting Rooms II',Medium',52.4%',https://leetcode.com/problems/meeting-rooms-ii',TBD
27,731',My Calendar II',Medium',62.6%',https://leetcode.com/problems/my-calendar-ii',https://youtu.be/TbHCvF4GOVE?si=r_kz2LsjThmkH9CX
28,452',Minimum Number of Arrows to Burst Balloons',Medium',61.0%',https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons',TBD
29,57',Insert Interval',Medium',44.5%',https://leetcode.com/problems/insert-interval',https://youtu.be/BCZ_9clRkxo?si=Gjx2f5Amy8FIzwZQ
30,252',Meeting Rooms',Easy',59.2%',https://leetcode.com/problems/meeting-rooms',TBD
31,729',My Calendar I',Medium',58.2%',https://leetcode.com/problems/my-calendar-i',https://youtu.be/5ZIHy_jTJOo?si=xLPYqVGSquBRpzjR
32,1353',Maximum Number of Events That Can Be Attended',Medium',38.8%',https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended',TBD
33,1326',Minimum Number of Taps to Open to Water a Garden',Hard',50.8%',https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden',TBD
34,56',Merge Intervals',Medium',50.7%',https://leetcode.com/problems/merge-intervals',TBD
35,1156',Swap For Longest Repeated Character Substring',Medium',43.9%',https://leetcode.com/problems/swap-for-longest-repeated-character-substring',https://youtu.be/Vgo7tvBm8OU?si=G0Sl4MG2MLEEVllP
36,2134',Minimum Swaps to Group All 1's Together II',Medium',65.6%',https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii',https://youtu.be/F55iZUb9pLc?si=QgtcUFvTDhY0Kdir
37,523',Continuous Subarray Sum',Medium',31.1%',https://leetcode.com/problems/continuous-subarray-sum',https://youtu.be/tW4BBWF8VJk?si=uLLsOH4dW2leLR5T
38,567',Permutation in String',Medium',48.1%',https://leetcode.com/problems/permutation-in-string',https://youtu.be/3QbafTQaBQk?si=DvRhdUGXGPMQX9gY
39,152',Maximum Product Subarray',Medium',35.7%',https://leetcode.com/problems/maximum-product-subarray',TBD
40,930',Binary Subarrays With Sum',Medium',67.7%',https://leetcode.com/problems/binary-subarrays-with-sum',https://youtu.be/w_lNKXAEWdM?si=eZ_9NtVyjif_5u54
41,2958',Length of Longest Subarray With at Most K Frequency',Medium',56.3%',https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency',https://youtu.be/M0bKB44JNIQ?si=xeIz85Vkb71Bbvap
42,2962',Count Subarrays Where Max Element Appears at Least K Times',Medium',62.4%',https://leetcode.com/problems/count-subarrays-where-max-element-appears-at-least-k-times',https://youtu.be/a7-7DIwh7dU?si=s99h0gBhlT9YhbM0
43,974',Subarray Sums Divisible by K',Medium',55.9%',https://leetcode.com/problems/subarray-sums-divisible-by-k',https://youtu.be/a_k29lPEEjk?si=WA1YMl6uOEXCi-nx
44,2762',Continuous Subarrays',Medium',57.9%',https://leetcode.com/problems/continuous-subarrays',https://youtu.be/GREPFkjtTFw?si=UjUOeyCiTMKSnvk1
45,409',Longest Palindrome',Easy',55.8%',https://leetcode.com/problems/longest-palindrome',https://youtu.be/Rbf3StOcRo0?si=oXEJWk-T9_xuAzga
46,2514',Count Anagrams',Hard',36.8%',https://leetcode.com/problems/count-anagrams',TBD
47,205',Isomorphic Strings',Easy',47.7%',https://leetcode.com/problems/isomorphic-strings',https://youtu.be/TKGEUoVwdOk?si=TabqW4YAjib8khtw
48,1684',Count the Number of Consistent Strings',Easy',88.4%',https://leetcode.com/problems/count-the-number-of-consistent-strings',https://youtu.be/aAF3BtUYuYY?si=9qTrDLZp2QU21x63
49,1942',The Number of the Smallest Unoccupied Chair',Medium',60.4%',https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair',https://youtu.be/FVysOn0hdww?si=2SmPSJir3NgCnDzj
50,786',K-th Smallest Prime Fraction',Medium',68.9%',https://leetcode.com/problems/k-th-smallest-prime-fraction',https://youtu.be/VLIHXF4DhTU?si=czHnA2CwOanKHK4F
51,502',IPO',Hard',53.3%',https://leetcode.com/problems/ipo',https://youtu.be/sdCvHi2i03E?si=90FylQerXNN06WEy
52,826',Most Profit Assigning Work',Medium',56.1%',https://leetcode.com/problems/most-profit-assigning-work',https://youtu.be/dvQazppkDaY?si=CvKflNiipyU4tL4_
53,2530',Maximal Score After Applying K Operations',Medium',64.0%',https://leetcode.com/problems/maximal-score-after-applying-k-operations',https://youtu.be/kHyka5f-BUE?si=rJ1bLaI2qI4B0X1C
54,1508',Range Sum of Sorted Subarray Sums',Medium',63.1%',https://leetcode.com/problems/range-sum-of-sorted-subarray-sums',https://youtu.be/ZBNKXytHGew?si=Iu5DyxlYTpb5Hi-w
55,506',Relative Ranks',Easy',74.1%',https://leetcode.com/problems/relative-ranks',https://youtu.be/-k6MIPmGzKA?si=pzizfk0yJSceFC7O
